Table A. Civilian Employment by Bahraini Citizenship and Sector: 2002-2011,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
All branches,,Total employment,,,Public sector,,,Private sector,,,Domestic workers,,
,,Total,Bahraini,Non-Bahraini,Total,Bahraini,Non-Bahraini,Total,Bahraini,Non-Bahraini,Total,Bahraini,Non-Bahraini
2002: Q1 ,,278414.348,95765.515,182648.833,41934.614,34357.614,7577,207102.657,61407.901,145694.756,29377.077,,29377.077
           Q2 ,,285157.716,97596.209,187561.507,42568.181,34961.181,7607,211869.084,62635.028,149234.056,30720.451,,30720.451
           Q3 ,,299117.765,102539.5,196578.265,47694.381,39254.381,8440,219810.076,63285.119,156524.957,31613.308,,31613.308
           Q4 ,,307452.761,104125.564,203327.197,48245.729,39771.729,8474,226521.495,64353.835,162167.66,32685.537,,32685.537
2003: Q1 ,,313597.27,105764.609,207832.661,48543.636,40011.636,8532,231595.862,65752.973,165842.889,33457.772,,33457.772
           Q2 ,,318526.411,106651.762,211874.649,48868.221,40288.221,8580,234990.944,66363.541,168627.403,34667.246,,34667.246
           Q3 ,,323511.442,107322.766,216188.676,49423.388,40690.388,8733,238421.451,66632.378,171789.073,35666.603,,35666.603
           Q4 ,,331378.573,109833.478,221545.095,50395.603,41590.603,8805,243343.911,68242.875,175101.036,37639.059,,37639.059
2004: Q1 ,,340403.405,110542.435,229860.97,50645.791,41773.791,8872,250764.908,68768.644,181996.264,38992.706,,38992.706
           Q2 ,,349101.159,112328.601,236772.558,50854.406,41902.406,8952,257357.423,70426.195,186931.228,40889.33,,40889.33
           Q3 ,,361906.587,115240.604,246665.983,52284.239,42865.239,9419,266782.351,72375.365,194406.986,42839.997,,42839.997
           Q4 ,,373309.088,118275.999,255033.089,52720,43238,9482,276003,75037.999,200965.001,44586.088,,44586.088
2005: Q1 ,,391490.985,117029.208,274461.777,52860.936,43341.936,9519,292122.797,73687.272,218435.525,46507.252,,46507.252
           Q2 ,,407202.386,118012.552,289189.834,53192.977,43618.977,9574,304582.001,74393.575,230188.426,49427.408,,49427.408
           Q3 ,,402785.44,118447.428,284338.012,54023.34,44283.34,9740,297940.011,74164.088,223775.923,50822.089,,50822.089
           Q4 ,,418171.658,122332.85,295838.808,54516.614,44737.614,9779,312007.997,77595.236,234412.761,51647.047,,51647.047
2006: Q1 ,,431812.746,126010.885,305801.861,54809.274,45004.274,9805,324481.054,81006.611,243474.443,52522.418,,52522.418
           Q2 ,,435807.017,126621.021,309185.996,55296.067,45487.067,9809,326310.26,81133.954,245176.306,54200.69,,54200.69
           Q3 ,,445165.642,127714.305,317451.337,56305.271,46353.271,9952,332863.74,81361.034,251502.706,55996.631,,55996.631
           Q4 ,,460264.805,129210.03,331054.775,57839.847,47561.847,10278,344477.41,81648.183,262829.227,57947.548,,57947.548
2007: Q1 ,,472261.917,128465.702,343796.215,56817.373,46530.373,10287,356091.079,81935.329,274155.75,59353.465,,59353.465
           Q2 ,,488418.744,129227.804,359190.94,57325.26,47005.26,10320,368242.416,82222.544,286019.872,62851.068,,62851.068
           Q3 ,,499586.303,130183.812,369402.491,59164.449,47601.449,11563,376295.306,82582.363,293712.943,64126.548,,64126.548
           Q4 ,,503783.933,130129.048,373654.885,59965.947,48006.947,11959,379207.911,82122.101,297085.81,64610.075,,64610.075
2008: Q1 ,,511899.465,129959.283,381940.182,59922.068,47836.068,12086,384474.301,82123.215,302351.086,67503.096,,67503.096
           Q2 ,,530194.946,133276.633,396918.313,59657.924,47456.924,12201,400751.039,85819.709,314931.33,69785.983,,69785.983
           Q3 ,,542849.552,134718.266,408131.286,53449.139,46238.139,7211,418862.127,88480.127,330382,70538.286,,70538.286
           Q4 ,,575797.756,140095.702,435702.054,54408.124,46776.124,7632,448848.578,93319.578,355529,72541.054,,72541.054
2009: Q1 ,,597592.328,142642.359,454949.969,54452.462,46915.462,7537,467746.897,95726.897,372020,75392.969,,75392.969
           Q2 ,,607570.206,138664.73,468905.476,54558.285,47059.285,7499,477521.445,91605.445,385916,75490.476,,75490.476
           Q3 ,,593394.156,138004.569,455389.587,54774.285,47136.285,7638,462575.284,90868.284,371707,76044.587,,76044.587
           Q4 ,,598491.01,136532.307,461958.703,55290.211,47530.211,7760,463989.096,89002.096,374987,79211.703,,79211.703
2010: Q1 ,,593659.683,138355.759,455303.924,55426.889,47564.889,7862,456560.87,90790.87,365770,81671.924,,81671.924
           Q2 ,,597040.372,139346.69,457693.682,55412.375,47685.375,7727,458189.315,91661.315,366528,83438.682,,83438.682
           Q3 ,,597401.553,139914.826,457486.727,55502.201,47615.201,7887,458039.625,92299.625,365740,83859.727,,83859.727
           Q4 ,,599348.737,140639.679,458709.058,56023.376,48111.376,7912,459323.303,92528.303,366795,84002.058,,84002.058
2011: Q1 ,,594924.724,141263.237,453661.487,55926.202,47998.202,7928,455801.035,93265.035,362536,83197.487,,83197.487
           Q2 ,,587428.787,138714.452,448714.335,56092.722,48270.722,7822,446862.73,90443.73,356419,84473.335,,84473.335
