indicator_key,indicator_code,date,value,source,raw
unemployment_rate_pct,SL.UEM.TOTL.ZS,2024,1.102,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2024"", ""value"": 1.102, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2023,1.154,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2023"", ""value"": 1.154, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2022,1.326,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2022"", ""value"": 1.326, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2021,1.541,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2021"", ""value"": 1.541, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2020,1.781,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2020"", ""value"": 1.781, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2019,1.223,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2019"", ""value"": 1.223, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2018,1.2,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2018"", ""value"": 1.2, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2017,1.194,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2017"", ""value"": 1.194, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2016,1.192,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2016"", ""value"": 1.192, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2015,1.16,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2015"", ""value"": 1.16, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2014,1.141,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2014"", ""value"": 1.141, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2013,1.182,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2013"", ""value"": 1.182, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2012,1.2,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2012"", ""value"": 1.2, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2011,1.21,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2011"", ""value"": 1.21, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2010,1.13,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2010"", ""value"": 1.13, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2009,1.07,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2009"", ""value"": 1.07, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2008,1.014,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2008"", ""value"": 1.014, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2007,1.006,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2007"", ""value"": 1.006, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2006,1.021,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2006"", ""value"": 1.021, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2005,1.021,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2005"", ""value"": 1.021, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2004,1.065,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2004"", ""value"": 1.065, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2003,1.128,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2003"", ""value"": 1.128, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2002,1.139,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2002"", ""value"": 1.139, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
unemployment_rate_pct,SL.UEM.TOTL.ZS,2001,1.12,WorldBank,"{""indicator"": {""id"": ""SL.UEM.TOTL.ZS"", ""value"": ""Unemployment, total (% of total labor force) (modeled ILO estimate)""}, ""country"": {""id"": ""BH"", ""value"": ""Bahrain""}, ""countryiso3code"": ""BHR"", ""date"": ""2001"", ""value"": 1.12, ""unit"": """", ""obs_status"": """", ""decimal"": 1}"
